Date,Status,CO2,°C,RH,DP,VPAct,VPSat,VPD
11/14/2021 00:00:00,Mid/Late,1200.00,15.00,35.00,-0.32,5.97,17.06,11.09
11/14/2021 00:01:00,Mid/Late,1200.00,16.11,35.00,0.66,6.41,18.32,11.91
11/14/2021 00:02:00,Mid/Late,1200.00,17.22,35.00,1.64,6.88,19.66,12.78
11/14/2021 00:03:00,HI,1200.00,18.33,35.00,2.62,7.38,21.08,13.70
11/14/2021 00:04:00,HI,1200.00,19.44,35.00,3.60,7.91,22.60,14.69
11/14/2021 00:05:00,HI,1200.00,20.56,35.00,4.58,8.47,24.21,15.73
11/14/2021 00:06:00,HI,1200.00,21.67,35.00,5.55,9.07,25.91,16.84
11/14/2021 00:07:00,HI,1200.00,22.78,35.00,6.53,9.70,27.73,18.02
11/14/2021 00:08:00,HI,1200.00,23.89,35.00,7.51,10.38,29.65,19.27
11/14/2021 00:09:00,HI,1200.00,25.00,35.00,8.48,11.09,31.69,20.60
11/14/2021 00:10:00,HI,1200.00,26.11,35.00,9.46,11.85,33.84,22.00
11/14/2021 00:11:00,HI,1200.00,27.22,35.00,10.43,12.65,36.13,23.49
11/14/2021 00:12:00,HI,1200.00,27.78,35.00,10.92,13.06,37.32,24.26
11/14/2021 00:13:00,Early,1200.00,15.00,40.00,1.53,6.82,17.06,10.24
11/14/2021 00:14:00,Mid/Late,1200.00,16.11,40.00,2.52,7.33,18.32,10.99
11/14/2021 00:15:00,Mid/Late,1200.00,17.22,40.00,3.52,7.86,19.66,11.79
11/14/2021 00:16:00,Mid/Late,1200.00,18.33,40.00,4.51,8.43,21.08,12.65
11/14/2021 00:17:00,Mid/Late,1200.00,19.44,40.00,5.51,9.04,22.60,13.56
11/14/2021 00:18:00,HI,1200.00,20.56,40.00,6.50,9.68,24.21,14.52
11/14/2021 00:19:00,HI,1200.00,21.67,40.00,7.49,10.37,25.91,15.55
11/14/2021 00:20:00,HI,1200.00,22.78,40.00,8.48,11.09,27.73,16.64
