Date,CO2,°F,RH
12/29/21 19:10:14,1099.77,74.62,53.00
12/29/21 19:10:16,1099.90,74.57,53.02
12/29/21 19:10:18,1101.10,74.60,53.05
12/29/21 19:10:21,1100.55,74.60,53.04
12/29/21 19:10:23,1100.50,74.54,53.07
12/29/21 19:10:25,1099.95,74.52,53.05
12/29/21 19:10:28,1100.18,74.57,53.06
12/29/21 19:10:30,1099.31,74.52,53.07
12/29/21 19:10:32,1098.58,74.52,53.13
12/29/21 19:10:34,1098.15,74.54,53.18
12/29/21 19:10:37,1097.10,74.44,53.15
12/29/21 19:10:39,1097.98,74.52,53.18
12/29/21 19:10:41,1098.14,74.49,53.19
12/29/21 19:10:44,1098.16,74.49,53.17
12/29/21 19:10:46,1098.19,74.49,53.18
12/29/21 19:10:48,1098.93,74.47,53.15
12/29/21 19:10:50,1099.36,74.44,53.18
12/29/21 19:10:53,1099.75,74.47,53.29
12/29/21 19:10:55,1099.39,74.47,53.47
12/29/21 19:10:57,1099.51,74.42,53.43
12/29/21 19:11:00,1099.84,74.44,53.43
12/29/21 19:11:02,1100.20,74.47,53.41
12/29/21 19:11:04,1100.75,74.47,53.38
12/29/21 19:11:06,1100.51,74.44,53.37
12/29/21 19:11:09,1100.43,74.44,53.33
12/29/21 19:11:11,1100.32,74.44,53.33
12/29/21 19:11:13,1099.99,74.44,53.29
12/29/21 19:11:16,1100.27,74.44,53.25
12/29/21 19:11:18,1100.42,74.47,53.25
12/29/21 19:11:20,1100.21,74.47,53.27
12/29/21 19:11:22,1101.09,74.47,53.25
12/29/21 19:11:25,1101.45,74.39,53.22
12/29/21 19:11:27,1100.71,74.42,53.22
12/29/21 19:11:29,1100.72,74.47,53.24
12/29/21 19:11:32,1100.60,74.47,53.25
12/29/21 19:11:34,1100.52,74.42,53.25
12/29/21 19:11:36,1101.32,74.39,53.27
12/29/21 19:11:38,1100.85,74.42,53.31
12/29/21 19:11:41,1100.13,74.42,53.33
12/29/21 19:11:43,1099.63,74.37,53.29
12/29/21 19:11:45,1099.66,74.39,53.27
12/29/21 19:11:48,1100.39,74.42,53.31
12/29/21 19:11:50,1100.62,74.34,53.26
12/29/21 19:11:52,1100.04,74.39,53.32
12/29/21 19:11:54,1100.73,74.37,53.36
12/29/21 19:11:57,1099.94,74.37,53.33
12/29/21 19:11:59,1099.82,74.37,53.36
12/29/21 19:12:01,1099.90,74.39,53.35
12/29/21 19:12:04,1100.22,74.37,53.42
12/29/21 19:12:06,1099.75,74.37,53.46
12/29/21 19:12:08,1099.68,74.34,53.41
12/29/21 19:12:10,1099.82,74.34,53.46
12/29/21 19:12:13,1100.24,74.34,53.45
12/29/21 19:12:15,1100.77,74.27,53.44
12/29/21 19:12:17,1100.85,74.32,53.49
12/29/21 19:12:19,1100.86,74.32,53.44
12/29/21 19:12:22,1100.46,74.27,53.48
12/29/21 19:12:24,1100.50,74.32,53.54
12/29/21 19:12:26,1100.56,74.34,53.47
12/29/21 19:12:29,1100.61,74.29,53.49
12/29/21 19:12:31,1100.63,74.32,53.45
12/29/21 19:12:33,1101.32,74.32,53.47
12/29/21 19:12:35,1101.34,74.32,53.45
12/29/21 19:12:38,1100.64,74.34,53.43
12/29/21 19:12:40,1101.01,74.29,53.43
12/29/21 19:12:42,1101.37,74.29,53.42
12/29/21 19:12:45,1101.47,74.32,53.42
12/29/21 19:12:47,1101.58,74.32,53.41
12/29/21 19:12:49,1101.53,74.29,53.44
12/29/21 19:12:51,1100.23,74.29,53.41
12/29/21 19:12:54,1100.68,74.29,53.37
12/29/21 19:12:56,1100.54,74.32,53.42
12/29/21 19:12:58,1100.90,74.34,53.42
12/29/21 19:13:01,1100.44,74.32,53.37
12/29/21 19:13:03,1100.65,74.27,53.40
12/29/21 19:13:05,1100.47,74.32,53.42
12/29/21 19:13:07,1099.90,74.29,53.44
12/29/21 19:13:10,1099.31,74.32,53.43
12/29/21 19:13:12,1098.96,74.27,53.48
